date,SWISS PERFORMANCE INDEX - TOT RETURN IND
1999-12-31,5022.86
2000-01-03,5022.86
2000-01-04,4853.06
2000-01-05,4802.81
2000-01-06,4861.37
2000-01-07,4971.8
2000-01-10,4982.29
2000-01-11,4968.49
2000-01-12,4977.76
2000-01-13,4985.22
2000-01-14,5042.25
2000-01-17,5047.21
2000-01-18,4972.39
2000-01-19,4948.53
2000-01-20,4902.95
2000-01-21,4902.42
2000-01-24,4841.11
2000-01-25,4755.05
2000-01-26,4771.43
2000-01-27,4853.21
2000-01-28,4804.86
2000-01-31,4717.22
2000-02-01,4791.86
2000-02-02,4827.56
2000-02-03,4887.15
2000-02-04,4869.56
2000-02-07,4859.41
2000-02-08,4867.8
2000-02-09,4807.2
2000-02-10,4781.58
2000-02-11,4778.65
2000-02-14,4754.87
2000-02-15,4686.02
2000-02-16,4747.6
2000-02-17,4799.34
2000-02-18,4824.66
2000-02-21,4772.78
2000-02-22,4811.57
2000-02-23,4848.03
2000-02-24,4832.86
2000-02-25,4803.76
2000-02-28,4758.93
2000-02-29,4750.92
2000-03-01,4798.53
2000-03-02,4860.84
2000-03-03,4850.61
2000-03-06,4904.67
2000-03-07,4883.14
2000-03-08,4805.12
2000-03-09,4787.45
2000-03-10,4793.21
2000-03-13,4693.71
2000-03-14,4738.34
2000-03-15,4725.83
2000-03-16,4871.47
2000-03-17,4866.28
2000-03-20,4922.66
2000-03-21,4959.52
2000-03-22,5033.5
2000-03-23,5032.77
2000-03-24,5083.49
2000-03-27,5047.49
2000-03-28,5054.27
2000-03-29,5073.5
2000-03-30,5049.04
2000-03-31,5075.78
2000-04-03,5116.34
2000-04-04,5141.02
2000-04-05,5057.3
2000-04-06,5065.52
2000-04-07,5064.3
2000-04-10,5049.73
2000-04-11,5074.53
2000-04-12,5115.68
2000-04-13,5117.4
2000-04-14,5060.67
2000-04-17,4970.05
2000-04-18,4988.74
2000-04-19,5003.16
2000-04-20,5013.79
2000-04-21,5013.79
2000-04-24,5013.79
2000-04-25,5052.1
2000-04-26,5078.69
2000-04-27,5054.14
2000-04-28,5062.73
2000-05-01,5062.73
2000-05-02,5148.17
2000-05-03,5139.62
2000-05-04,5133.56
2000-05-05,5129.34
2000-05-08,5145.7
2000-05-09,5181.95
2000-05-10,5157.6
2000-05-11,5241.77
2000-05-12,5265.97
2000-05-15,5257.22
2000-05-16,5287.21
2000-05-17,5263.87
2000-05-18,5300.78
2000-05-19,5253.56
2000-05-22,5237.43
2000-05-23,5297.42
2000-05-24,5297.11
2000-05-25,5347.58
2000-05-26,5281.56
2000-05-29,5297.52
2000-05-30,5251.29
2000-05-31,5269.66
2000-06-01,5269.66
2000-06-02,5346.03
2000-06-05,5321.05
2000-06-06,5295.42
2000-06-07,5330.17
2000-06-08,5341.11
2000-06-09,5336.14
2000-06-12,5336.14
2000-06-13,5334.84
2000-06-14,5370.99
2000-06-15,5333.66
2000-06-16,5345.88
2000-06-19,5314.28
2000-06-20,5320.89
2000-06-21,5295.97
2000-06-22,5235.29
2000-06-23,5238.37
2000-06-26,5241.37
2000-06-27,5242.17
2000-06-28,5264.54
2000-06-29,5253.98
2000-06-30,5293.34
2000-07-03,5318.93
2000-07-04,5351.49
2000-07-05,5382.58
2000-07-06,5413.23
2000-07-07,5423
2000-07-10,5435.26
2000-07-11,5446.01
2000-07-12,5431.35
2000-07-13,5471.54
2000-07-14,5464.9
2000-07-17,5450.09
2000-07-18,5433.73
2000-07-19,5454.34
2000-07-20,5463.87
2000-07-21,5448.21
2000-07-24,5505.41
2000-07-25,5505.25
2000-07-26,5495.93
2000-07-27,5490.74
2000-07-28,5489.64
2000-07-31,5504.14
2000-08-01,5504.14
2000-08-02,5585.35
2000-08-03,5575.78
2000-08-04,5580.18
2000-08-07,5655.54
2000-08-08,5653.38
2000-08-09,5658.87
2000-08-10,5639.88
2000-08-11,5655.71
2000-08-14,5690.01
2000-08-15,5687.15
2000-08-16,5730.99
2000-08-17,5689.41
2000-08-18,5686.91
2000-08-21,5713.61
2000-08-22,5739.89
2000-08-23,5770.05
2000-08-24,5758.82
2000-08-25,5736.29
2000-08-28,5753.37
2000-08-29,5704.34
2000-08-30,5676.34
2000-08-31,5681.82
2000-09-01,5690.66
2000-09-04,5673.55
2000-09-05,5662.85
2000-09-06,5641.44
2000-09-07,5644.45
2000-09-08,5625.33
2000-09-11,5625.34
2000-09-12,5586.63
2000-09-13,5579.74
2000-09-14,5565.31
2000-09-15,5573.87
2000-09-18,5524.6
2000-09-19,5483.78
2000-09-20,5459.6
2000-09-21,5466.14
2000-09-22,5511.47
2000-09-25,5550.31
2000-09-26,5518.53
2000-09-27,5514.37
2000-09-28,5520.03
2000-09-29,5423.6
2000-10-02,5526.35
2000-10-03,5572.97
2000-10-04,5566.71
2000-10-05,5578.45
2000-10-06,5549.83
2000-10-09,5441.5
2000-10-10,5478.84
